Hourly Obs
Station Location: ADAMS FIELD AIRPORT (13963)
Lat: 34.727
Lon: -92.238
Elev: 258 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13963,20160101,0053,12,OVC250, ,10.00, , , ,39, ,3.9, ,36, ,2.1, ,31, ,-0.6, , 73, , 6, ,360, , , ,30.14, , , , , ,30.43, ,AA, , , ,30.42, 
13963,20160101,0153,12,OVC150, ,10.00, , , ,39, ,3.9, ,35, ,1.9, ,30, ,-1.1, , 70, , 5, ,350, , , ,30.16, , , , , ,30.45, ,AA, , , ,30.44, 
13963,20160101,0253,12,CLR, ,10.00, , , ,39, ,3.9, ,35, ,1.9, ,30, ,-1.1, , 70, , 5, ,320, , , ,30.19, , , , , ,30.47, ,AA, , , ,30.47, 
13963,20160101,0353,12,SCT250, ,10.00, , , ,38, ,3.3, ,35, ,1.5, ,30, ,-1.1, , 73, , 7, ,350, , , ,30.18, , , , , ,30.47, ,AA, , , ,30.46, 
13963,20160101,0453,12,BKN200, ,10.00, , , ,37, ,2.8, ,34, ,0.8, ,28, ,-2.2, , 70, , 6, ,340, , , ,30.19, , , , , ,30.47, ,AA, , , ,30.47, 
13963,20160101,0553,12,SCT200, ,10.00, , , ,36, ,2.2, ,33, ,0.5, ,28, ,-2.2, , 73, , 7, ,330, , , ,30.20, , , , , ,30.49, ,AA, , , ,30.48, 
13963,20160101,0653,12,FEW120 BKN200, ,10.00, , , ,37, ,2.8, ,34, ,0.8, ,28, ,-2.2, , 70, , 7, ,330, , , ,30.21, , , , , ,30.50, ,AA, , , ,30.49, 
13963,20160101,0753,12,SCT130 BKN250, ,10.00, , , ,37, ,2.8, ,34, ,0.8, ,28, ,-2.2, , 70, , 8, ,340, , , ,30.22, , , , , ,30.50, ,AA, , , ,30.50, 
13963,20160101,0853,12,SCT130 BKN250, ,10.00, , , ,38, ,3.3, ,34, ,1.3, ,29, ,-1.7, , 70, , 7, ,330, , , ,30.22, , , , , ,30.51, ,AA, , , ,30.50, 
13963,20160101,0953,12,FEW130 BKN250, ,10.00, , , ,41, ,5.0, ,36, ,1.9, ,27, ,-2.8, , 58, , 9, ,350, , , ,30.24, , , , , ,30.53, ,AA, , , ,30.52, 
13963,20160101,1053,12,SCT250, ,10.00, , , ,44, ,6.7, ,37, ,2.9, ,27, ,-2.8, , 51, , 9, ,360, , , ,30.23, , , , , ,30.52, ,AA, , , ,30.51, 
13963,20160101,1153,12,SCT250, ,10.00, , , ,47, ,8.3, ,38, ,3.4, ,25, ,-3.9, , 42, , 5, ,VR , , , ,30.21, , , , , ,30.50, ,AA, , , ,30.49, 
13963,20160101,1253,12,SCT250, ,10.00, , , ,49, ,9.4, ,38, ,3.6, ,22, ,-5.6, , 35, ,10, ,330, , , ,30.17, , , , , ,30.46, ,AA, , , ,30.45, 
